Q851830	P100018
Q691	P100021
Q27	P100020
Q244	P100016
Q917	P100011
Q1014	P100014
Q948	P100014
Q783	P100021
Q711	P100011
Q214	P100017
Q953	P100018
Q33	P100014
Q1029	P100014
Q77	P100018
Q1045	P100022
Q31	P100017
Q958	P100021
Q236	P100017
Q754	P100015
Q191	P100018
Q38	P100011
Q800	P100021
Q35	P100020
Q1029	P100012
Q769	P100011
Q16	P100014
Q851830	P100013
Q252	P100015
Q851	P100013
Q222	P100013
Q1042	P100014
Q833	P100015
Q184	P100016
Q928	P100020
Q227	P100018
Q929	P100011
Q183	P100014
Q424	P100017
Q244	P100012
Q38	P100018
Q258	P100018
Q252	P100018
Q783	P100012
Q398	P100012
Q962	P100012
Q668	P100012
Q215	P100021
Q1016	P100018
Q32	P100022
Q846	P100019
Q36	P100019
Q224	P100019
Q928	P100015
Q225	P100017
Q781	P100012
Q233	P100020
Q786	P100020
Q851	P100012
Q408	P100014
Q212	P100012
Q45	P100012
Q958	P100014
Q963	P100012
Q685	P100014
Q983	P100016
Q912	P100021
Q986	P100014
Q736	P100021
Q754	P100013
Q833	P100014
Q1027	P100013
Q574	P100015
Q1042	P100015
Q1028	P100018
Q219	P100018
Q1006	P100021
Q1028	P100020
Q211	P100019
Q963	P100020
Q236	P100019
Q242	P100017
Q219	P100020
Q1037	P100014
Q574	P100021
Q242	P100022
Q889	P100016
Q184	P100015
Q685	P100011
Q233	P100022
Q843	P100012
Q1006	P100017
Q924	P100016
Q766	P100017
Q730	P100018
Q851830	P100012
Q1019	P100016
Q33	P100011
Q414	P100021
Q213	P100018
Q1033	P100017
Q712	P100011
Q881	P100011
Q664	P100018
Q115	P100014
Q983	P100021
Q27	P100016
Q43	P100011
Q217	P100013
Q1044	P100021
Q1036	P100013
Q227	P100020
Q28	P100011
Q1037	P100011
Q917	P100016
Q35	P100012
Q217	P100014
Q1028	P100021
Q219	P100021
Q1019	P100011
Q1013	P100020
Q214	P100018
Q739	P100016
Q869	P100018
Q41	P100022
Q189	P100014
Q766	P100016
Q41	P100013
Q967	P100017
Q218	P100020
Q1049	P100022
Q230	P100011
Q1049	P100015
Q252	P100012
Q685	P100020
Q20	P100019
Q212	P100015
Q27	P100018
Q34	P100020
Q811	P100019
Q781	P100018
Q242	P100021
Q786	P100013
Q734	P100018
Q1025	P100020
Q967	P100021
Q1033	P100020
Q229	P100012
Q217	P100022
Q43	P100019
Q217	P100015
Q262	P100012
Q881	P100019
Q822	P100020
Q142	P100018
Q211	P100014
Q1042	P100018
Q1037	P100019
Q733	P100012
Q183	P100018
Q769	P100014
Q1049	P100017
Q1000	P100019
Q836	P100020
Q792	P100014
Q1000	P100013
Q837	P100015
Q419	P100015
Q1042	P100020
Q17	P100014
Q963	P100015
Q796	P100013
Q38	P100022
Q854	P100012
Q945	P100018
Q1016	P100014
Q215	P100022
Q33	P100019
Q1030	P100019
Q1049	P100021
Q45	P100017
Q145	P100012
Q241	P100018
Q183	P100013
Q1032	P100022
Q77	P100017
Q954	P100020
Q236	P100013
Q40	P100019
Q733	P100021
Q917	P100015
Q28	P100017
Q16	P100019
Q970	P100015
Q334	P100021
Q786	P100017
Q685	P100018
Q227	P100019
Q804	P100022
Q811	P100017
Q878	P100014
Q1013	P100013
Q232	P100018
Q889	P100019
Q41	P100019
Q232	P100021
Q869	P100021
Q29	P100021
Q954	P100015
Q29	P100016
Q17	P100022
Q790	P100015
Q804	P100012
Q792	P100021
Q224	P100018
Q970	P100020
Q750	P100014
Q657	P100021
Q826	P100018
Q334	P100018
Q212	P100016
Q117	P100020
Q796	P100017
Q403	P100020
Q36	P100012
Q836	P100018
Q664	P100020
Q817	P100012
Q183	P100020
Q986	P100016
Q1025	P100013
Q822	P100012
Q851	P100019
Q822	P100018
Q414	P100018
Q45	P100019
Q142	P100017
Q114	P100021
Q657	P100022
Q889	P100011
Q1045	P100011
Q810	P100018
Q1020	P100013
Q145	P100013
Q769	P100019
Q213	P100013
Q1009	P100017
Q225	P100022
Q96	P100014
Q869	P100014
Q241	P100017
Q750	P100015
Q32	P100017
Q1019	P100014
Q1020	P100014
Q215	P100019
Q781	P100015
Q878	P100017
Q657	P100020
Q970	P100021
Q836	P100011
Q977	P100016
Q822	P100013
Q218	P100014
Q1009	P100018
Q115	P100016
Q265	P100013
Q917	P100012
Q811	P100016
Q40	P100020
Q218	P100017
Q967	P100020
Q792	P100013
Q1044	P100014
Q230	P100014
Q837	P100011
Q419	P100011
Q970	P100017
Q854	P100014
Q912	P100019
Q734	P100014
Q1039	P100020
Q691	P100012
Q217	P100016
Q916	P100015
Q881	P100022
Q842	P100020
Q96	P100022
